Name,Team,PS,GP,MinpG,FG%,FT%,3M,3PT%,3PTpG,PpG,ORpG,DRpG,RpG,ApG,SpG,BpG,TOpG,PFpG,Tech,+/-
"gordon, eric",nor,SG,45,32.9,0.419,0.888,113,0.386,2.5,15.2,0.2,2,2.2,2.7,1,0.3,1.6,2.2,0,-71
"gortat, marcin",was,C,75,30.1,0.567,0.705,0,0,0,13.5,2.9,6.9,9.9,1.4,0.6,1.3,1.6,2.6,3,62
"goudelock, andrew",hou,PG,8,6.4,0.45,0.75,1,0.111,0.1,2.8,0.1,0.1,0.3,0.5,0.8,0.3,0.9,0.5,0,10
"grant, jerami",phi,SF,77,26.9,0.419,0.658,35,0.24,0.5,9.7,1.3,3.4,4.7,1.7,0.7,1.6,1.4,2.8,2,-489
"grant, jerian",nyk,PG,76,16.3,0.387,0.777,22,0.222,0.3,5.4,0.3,1.5,1.8,2.3,0.6,0.1,1.1,1.3,0,-182
"green, danny",san,SG,79,26.1,0.376,0.739,116,0.332,1.5,7.2,0.6,3.2,3.8,1.8,1,0.8,0.9,1.8,0,508
"green, draymond",gsw,SF,81,34.7,0.49,0.696,100,0.388,1.2,14,1.6,7.8,9.4,7.4,1.5,1.4,3.2,3,11,1055
"green, erick",uta,PG,9,4.7,0.385,1,1,0.2,0.1,1.4,0.3,0.3,0.7,0.3,0.1,0,0,0.4,0,-1
"green, gerald",mia,SG,69,22.6,0.392,0.774,84,0.323,1.2,8.9,0.4,2,2.4,0.8,0.5,0.3,0.7,1.8,2,46
"green, jamychal",mem,PF,78,18.5,0.465,0.752,15,0.333,0.2,7.4,1.8,3,4.8,0.9,0.6,0.4,1.1,2.4,4,-44
"green, jeff",lac,SF,80,28.2,0.43,0.745,67,0.315,0.8,11.7,0.9,3.2,4.2,1.7,0.7,0.5,1.2,2.1,0,-36
"griffin, blake",lac,PF,35,33.5,0.498,0.727,6,0.333,0.2,21.4,1.5,6.9,8.4,4.9,0.8,0.5,2.4,2.7,7,181
"gutierrez, jorge",cha,PG,12,5.3,0.545,0.909,0,0,0,1.8,0,0.6,0.6,1.4,0.3,0,0.5,0.3,0,8
"hairston, p.j.",mem,PF,66,19.9,0.355,0.781,70,0.29,1.1,6.2,0.4,2.3,2.6,0.6,0.5,0.2,0.6,2.1,1,-192
"hamilton, jordan",nor,SG,11,27.7,0.422,0.667,13,0.289,1.2,11.4,1.1,4.5,5.6,2.3,0.7,0.3,1.5,2.2,0,-67
"hansbrough, tyler",cha,PF,44,7.9,0.451,0.585,2,0.667,0,2.4,0.9,1.1,2,0.2,0.3,0.2,0.3,1.3,0,-35
"hardaway, timjr",atl,SG,51,16.9,0.432,0.893,48,0.34,0.9,6.4,0.1,1.5,1.7,1,0.4,0.1,0.5,0.9,0,101
"harden, james",hou,SG,82,38.1,0.439,0.86,236,0.36,2.9,29,0.8,5.4,6.1,7.5,1.7,0.6,4.6,2.8,2,129
"harkless, maurice",por,SF,78,18.6,0.474,0.622,39,0.279,0.5,6.4,1.3,2.3,3.6,0.9,0.6,0.4,0.8,1.6,1,36
"harper, justin",det,PF,5,7,0.4,0.5,4,0.444,0.8,2.6,0,0.2,0.2,0,0.2,0,0.4,0.6,0,-32
